Date,B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
2015-12-10,5347,841,9608,37,1682,79,1
2015-12-11,3092,1437,13646,75,7303,206,1104
2015-12-12,0,0,0,0,0,0,0
2015-12-13,0,0,0,0,0,0,0
2015-12-14,2510,442,15272,13,3797,74,0
2015-12-15,3993,1040,8037,47,2014,63,0
2015-12-16,2561,834,16878,39,8952,188,0
2015-12-17,3343,615,8024,10,3517,0,0
2015-12-18,5779,1107,11233,27,3784,26,0
2015-12-19,0,0,0,10,0,0,0
2015-12-20,0,0,36,0,0,0,0
2015-12-21,4218,1106,20417,30,8077,117,0
2015-12-22,7504,4715,10688,17,2850,762,2
2015-12-23,3845,705,13442,123,4074,229,288
2015-12-24,0,0,0,0,0,0,0
2015-12-25,0,0,0,0,13,0,0
2015-12-26,0,0,0,0,0,0,0
2015-12-27,0,0,0,0,0,0,0
2015-12-28,43,1059,18306,30,4798,123,1200
2015-12-29,39,574,7247,30,2899,229,0
2015-12-30,0,574,11923,87,5581,213,192
2015-12-31,0,0,48,6,0,342,0
2016-01-01,0,0,0,0,2880,0,0
2016-01-02,4588,747,10006,18,2586,31,10
2016-01-03,2736,18510,15465,199,20491,223,0
2016-01-04,455,3280,9528,51,5200,72,0
2016-01-05,0,0,0,0,0,0,0
2016-01-06,5632,535,12505,18,4484,696,0
2016-01-07,3451,614,7769,57,3203,0,0
2016-01-08,3045,1357,8240,112,4919,89,96
2016-01-09,3287,3149,8741,109,3927,3,0
2016-01-10,0,0,0,6,0,0,0
2016-01-11,3509,672,8950,6,5418,574,25
2016-01-12,3909,1726,16197,163,3814,12,0
2016-01-13,3837,765,13028,18,3192,260,240
2016-01-14,4476,1833,13906,39,5770,9,0
2016-01-15,3800,994,8958,43,2622,180,60
2016-01-16,0,0,0,0,36,0,0
2016-01-17,0,10,0,0,21,0,0
2016-01-18,3610,676,11444,13,5665,49,0
2016-01-19,4514,419,7988,108,3419,13,0
2016-01-20,1468,505,15372,43,3596,4,0
2016-01-21,3805,945,11735,112,7801,804,1008
2016-01-22,4261,5483,11115,19,3733,279,168
2016-01-23,0,0,0,6,0,0,0
2016-01-24,0,0,196,0,48,0,0
2016-01-25,2801,3465,9371,165,453,113,0
2016-01-26,2475,566,10848,56,5208,50,0
2016-01-27,4925,596,44432,10,10060,49,144
2016-01-28,291,1486,8132,70,4317,235,0
2016-01-29,4909,415,13625,1,6297,23,60
2016-01-30,0,0,0,6,0,0,0
2016-01-31,0,0,0,6,0,0,0
2016-02-01,0,0,0,0,0,0,0
2016-02-02,3107,233,7789,23,2840,446,0
2016-02-03,2421,1477,10024,34,4698,515,192
2016-02-04,0,0,0,0,0,0,0
2016-02-05,4162,7762,6709,18,3915,33,0
2016-02-06,3650,822,15863,53,9465,263,0
2016-02-07,0,0,0,2,0,0,0
2016-02-08,3877,283,8917,6,3731,180,0
2016-02-09,4509,985,14052,101,4757,325,10
2016-02-10,0,0,0,0,0,0,0
2016-02-11,4379,926,12845,61,5731,55,0
2016-02-12,3293,780,13232,92,6252,466,0
2016-02-13,0,0,0,0,0,0,0
2016-02-14,0,10,288,0,84,0,0
2016-02-15,4254,3017,16153,38,4185,0,72
2016-02-16,2689,424,11602,12,1589,12,0
2016-02-17,3068,727,43537,13,9836,455,144
2016-02-18,2483,502,14598,24,3318,1074,1104
2016-02-19,4827,727,11293,34,2554,79,0
2016-02-20,0,0,0,0,0,0,0
2016-02-21,0,0,0,0,0,0,0
2016-02-22,3595,1264,5230,3,2179,0,0
2016-02-23,3505,286,9592,27,2319,72,0
2016-02-24,4203,506,12779,20,7542,201,312
2016-02-25,3325,1869,11543,20,4888,477,1200
2016-02-26,3254,967,7626,9,6424,385,0
2016-02-27,0,0,0,9,0,0,0
2016-02-28,0,0,0,0,0,0,0
2016-02-29,5027,1936,5930,404,3035,170,0
2016-03-01,0,0,0,0,0,0,0
2016-03-02,2724,794,9641,11,4044,229,192
2016-03-03,3005,1195,9318,38,5660,194,721
