B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
4310,3366,13035,20,4738,122,0
2830,468,15755,25,5302,404,0
3139,146,12703,34,5716,116,144
0,0,0,0,0,0,0
4266,611,16852,64,4870,10,192
2758,5475,12293,123,3319,19,48
2871,1534,8394,16,3233,267,0
3598,1685,12308,117,11527,44,1968
0,0,0,0,0,0,0
4378,264,9774,87,1942,351,48
3224,2628,13969,86,6645,2,1008
0,0,0,0,59,0,0
0,0,0,0,0,0,0
3452,316,10892,45,2901,8,0
5014,551,9593,193,2290,114,0
3719,483,9548,17,3493,2,384
2916,281,10808,41,6541,13,2
2622,853,10821,44,5879,212,192
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3163,19633,6148,27,3680,413,0
2507,2198,11985,11,14993,580,0
2924,363,7316,82,3411,18,144
2911,491,15506,26,6986,204,1440
3249,362,11623,51,4038,20,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3941,1927,7512,344,2490,46,0
2644,686,6740,48,3003,325,0
4796,695,16002,19,7672,166,156
0,0,0,0,58,0,0
4246,790,20649,68,8316,95,24
3542,1416,14220,31,5104,341,385
0,0,0,0,0,0,0
3998,1045,9946,37,2563,207,24
4223,1014,10591,29,3625,657,1536
0,90,0,6,0,0,0
4741,418,11073,45,3195,3,0
3529,398,10194,41,2139,0,0
0,0,0,0,0,0,0
2988,511,19869,52,5544,18,240
3861,265,7367,192,6110,123,0
2278,422,12732,33,1699,19,72
3094,8938,13066,13,5352,138,276
3483,1426,9692,37,4086,29,768
2308,483,11485,26,5004,23,216
0,0,0,0,0,0,0
0,42,0,0,0,0,0
2656,1014,8805,44,1801,191,0
4274,398,9290,63,1735,137,0
2467,508,17169,54,4399,285,240
2197,3069,13524,101,3436,1043,480
585,1098,14281,200,6,333,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3530,3893,11176,280,2989,36,0
2953,284,9570,28,0,211,0
2830,584,15083,64,0,5,336
4560,2162,18353,95,0,252,1104
3485,3085,25220,34,192,315,12
0,0,0,0,0,0,0
2539,545,13181,19,5311,39,336
3653,2112,13047,75,4810,0,1728
0,190,70,0,0,0,0
4198,370,5230,24,3586,0,0
5219,272,9363,24,4880,196,14
0,60,0,0,0,0,0
2779,617,13493,23,4371,6,0
0,0,0,2,0,0,0
3153,227,10394,9,1418,175,0
3359,1483,10540,39,5158,24,2400
0,0,0,0,0,0,0
3980,3723,8770,220,21972,1,1200
3258,1113,7822,18,784,155,0
0,0,0,6,0,0,0
0,0,0,0,0,0,0
4433,1624,11654,12,6208,4,0
3247,1639,7818,199,4646,179,0
2464,869,21585,105,7903,143,384
977,3488,11110,80,7328,1120,0
2811,738,14140,3,4607,6,12
0,0,12,0,12,0,0
0,0,0,0,0,0,0
4467,669,6695,113,32415,19,0
3336,360,12126,63,4265,54,0
2998,505,7851,115,4933,2,0
3924,1652,18816,68,6549,64,1296
3353,374,13195,13,3654,125,240
0,0,0,0,0,0,0
0,24,252,0,0,0,0
3496,1263,13039,38,5240,15,5
3264,883,10824,0,5685,102,1
3225,3402,9392,9,5594,218,672
2639,5313,10777,32,3108,103,144
4059,456,10255,35,3736,12,2
3101,772,14292,63,5505,323,0
0,0,0,6,0,0,0
5202,1702,11566,104,3506,282,0
3868,1046,21812,69,10784,16,1440
0,0,0,0,0,0,0
5141,320,10922,3,17893,0,0
3944,1479,13789,42,3273,328,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2881,606,11643,6,3638,144,0
3333,796,14435,15,5066,0,0
3187,1171,15929,30,4285,19,0
3903,3826,11681,184,8008,1009,1344
4159,336,9128,21,2945,109,0
0,0,120,0,0,0,0
0,0,0,0,0,0,0
5062,1967,11604,42,5246,226,0
3636,620,7660,54,3499,14,24
3761,683,12556,66,6732,388,240
0,6,0,12,48,0,0
0,0,0,0,0,0,0
0,0,0,0,3,0,0
0,0,0,0,0,0,0
2622,1540,14885,15,7585,19,432
3854,789,10598,71,7124,20,12
3636,3377,13727,84,4564,54,0
3823,375,12685,33,3870,0,60
4507,235,11286,24,3926,88,192
0,0,0,0,0,0,0
3861,703,11781,54,4316,404,0
5056,1523,11094,65,3071,9,24
0,0,0,0,0,0,0
4502,515,11387,516,2579,13,0
4252,502,10139,10,1835,161,0
3533,894,8985,12,5578,19,0
3809,946,14272,66,39062,176,96
0,0,0,0,0,0,0
5110,1481,9549,10,2993,114,1
3631,550,9966,108,4406,134,0
3150,415,12092,40,5163,11,240
4879,3933,11312,95,3530,327,0
3537,695,13988,45,4672,103,372
0,0,0,0,0,0,0
0,0,156,0,0,1,0
